qid,label,enwiki_title,domain,p31_classes,p31_qids,p910_categories,p910_count,wikipedia_categories,p31_count,category_count,p279_depth,wp_depth,p910_depth,p910_matched_category,overlap_count,matched_categories,overlap_ratio
Q24196,The Hidden Face,The_Hidden_Face_(film),films,film,Q11424,Films,1,2010s Colombian films|2011 Spanish-language films|2011 Spanish films|2011 films|2011 thriller films|20th Century Fox films|Avalon films|Colombian thriller films|Films directed by Andrés Baiz|Films scored by Federico Jusid|Films shot in Bogotá|Films shot in Colombia|Spanish-language thriller films|Spanish thriller films,1,14,0,1,1,Films,0,,0.0
Q24258,Visions of Light,Visions_of_Light,films,film,Q11424,Films,1,1992 American films|1992 English-language films|1992 Japanese films|1992 documentary films|1992 films|1992 independent films|American documentary films|American independent films|Documentary films about cinematography|English-language documentary films|English-language independent films|Japanese documentary films,1,12,0,1,1,Films,0,,0.0
Q24340,Anna Karamazoff,Anna_Karamazoff,films,film,Q11424,Films,1,1990s Soviet film stubs|1990s drama film stubs|1991 French films|1991 Russian-language films|1991 Soviet films|1991 drama films|1991 films|1991 multilingual films|Films produced by Serge Silberman|French drama films|French multilingual films|Mosfilm films|Russian-language drama films|Soviet drama films|Soviet multilingual films,1,15,0,1,1,Films,0,,0.0
Q24515,Shaolin,Shaolin_(film),films,film,Q11424,Films,1,2011 Cantonese-language films|2011 Chinese films|2011 Hong Kong films|2011 Mandarin-language films|2011 films|2011 martial arts films|Chinese New Year films|Chinese martial arts films|Films about Shaolin Monastery|Films about warlords|Films directed by Benny Chan|Films scored by Nicolas Errèra|Films set in Henan|Films set in the 1920s|Films set in the Republic of China (1912–1949)|Films with screenplays by Alan Yuen|Hong Kong martial arts films|Karate films|Kung fu films|Remakes of Chinese films|Remakes of Hong Kong films|Variance Films films|Wushu films,1,23,0,1,1,Films,0,,0.0
Q24585,July 14,Bastille_Day_(1933_film),films,film,Q11424,Films,1,1930s French comedy film stubs|1933 French-language films|1933 French films|1933 films|1933 romantic comedy films|Films directed by René Clair|Films set in Paris|Films shot at Epinay Studios|French black-and-white films|French romantic comedy films|Tobis Film films,1,11,0,1,1,Films,0,,0.0
Q24618,Jaded,Jaded_(film),films,film,Q11424,Films,1,1990s American film stubs|1990s LGBTQ-related film stubs|1990s drama film stubs|1998 American films|1998 English-language films|1998 LGBTQ-related films|1998 films|1998 independent films|American LGBTQ-related films|American courtroom films|American independent films|English-language independent films|Films about rape|Films set in New York City|Films shot in New York City|LGBTQ-related drama film stubs|Lesbian-related films,1,17,0,1,1,Films,0,,0.0
Q2875,Gone with the Wind,Gone_with_the_Wind_(film),films,film,Q11424,Films,1,1930s color films|1930s historical drama films|1930s historical romance films|1930s pregnancy films|1930s war drama films|1930s war romance films|1939 American films|1939 English-language films|1939 films|1939 romantic drama films|1939 war films|African-American-related controversies in film|American Civil War films|American epic films|American films about revenge|American historical drama films|American historical romance films|American pregnancy films|American romantic drama films|American war drama films|American war romance films|Best Picture Academy Award winners|English-language historical drama films|English-language historical romance films|English-language romantic drama films|English-language war drama films|Films about American slavery|Films about Lost Cause of the Confederacy|Films about incest|Films about marriage|Films about rape in the United States|Films based on American novels|Films directed by Victor Fleming|Films featuring a Best Actress Academy Award–winning performance|Films featuring a Best Supporting Actress Academy Award–winning performance|Films produced by David O. Selznick|Films scored by Max Steiner|Films set in Atlanta|Films set in Georgia (U.S. state)|Films set in London|Films set in the 1860s|Films set in the 1870s|Films set on farms|Films shot at Culver Studios|Films shot in California|Films whose cinematographer won the Best Cinematography Academy Award|Films whose director won the Best Directing Academy Award|Films whose editor won the Best Film Editing Academy Award|Films whose production designer won the Best Production Design Academy Award|Films whose writer won the Best Adapted Screenplay Academy Award|Irish-American mass media|Metro-Goldwyn-Mayer films|Romantic epic films|Selznick International Pictures films|United States National Film Registry films|Works based on Gone with the Wind|World record holders,1,57,0,1,1,Films,0,,0.0
Q32424,Map of the Human Heart,Map_of_the_Human_Heart,films,film,Q11424,Films,1,1992 British films|1992 Canadian films|1992 English-language films|1992 drama films|1992 films|Australian World War II films|Australian drama films|British World War II films|British aviation films|British drama films|Canadian World War II films|Canadian aviation films|English-language Canadian films|English-language drama films|Films about Inuit in Canada|Films directed by Vincent Ward|Films produced by Tim Bevan|Films set in Canada|Films shot in Nunavut|PolyGram Filmed Entertainment films|Working Title Films films|Works about the bombing of Dresden,1,22,0,1,1,Films,0,,0.0
Q32433,Lincoln,Lincoln_(film),films,film,Q11424,Films,1,"2010s political drama films|2012 American films|2012 English-language films|2012 biographical drama films|2012 drama films|2012 films|2012 war drama films|20th Century Fox films|Amblin Entertainment films|American Civil War films|American Civil War films based on actual events|American biographical drama films|American courtroom films|American political drama films|American war drama films|BAFTA winners (films)|Cultural depictions of Robert E. Lee|Cultural depictions of Ulysses S. Grant|DreamWorks Pictures films|Dune Entertainment films|English-language biographical drama films|English-language historical drama films|English-language war drama films|Films about Abraham Lincoln|Films about American politicians|Films about American slavery|Films about assassinations|Films about presidents of the United States|Films about racism in the United States|Films based on non-fiction books|Films directed by Steven Spielberg|Films featuring a Best Actor Academy Award–winning performance|Films featuring a Best Drama Actor Golden Globe winning performance|Films produced by Kathleen Kennedy|Films produced by Steven Spielberg|Films scored by John Williams|Films set in 1864|Films set in 1865|Films set in Richmond, Virginia|Films set in Virginia|Films set in Washington, D.C.|Films set in the 1860s|Films set in the White House|Films shot in Virginia|Films whose production designer won the Best Production Design Academy Award|Films with screenplays by Tony Kushner|Indian biographical drama films|Indian political drama films|Indian war drama films|Participant (company) films|Political films based on actual events|Reliance Entertainment films|Satellite Award–winning films|The Kennedy/Marshall Company films|Touchstone Pictures films|War drama films based on actual events",1,56,0,1,1,Films,0,,0.0
Q32535,That's My Boy,That%27s_My_Boy_(2012_film),films,film,Q11424,Films,1,2010s sex comedy films|2012 American films|2012 English-language films|2012 black comedy films|2012 films|American black comedy films|American sex comedy films|Columbia Pictures films|English-language black comedy films|English-language sex comedy films|Fictional portrayals of the Boston Police Department|Films about alcoholism|Films about dysfunctional families|Films about father–son relationships|Films about incest|Films about juvenile sexuality|Films about rape in the United States|Films about scandalous teacher–student relationships|Films about sibling incest|Films directed by Sean Anders|Films produced by Adam Sandler|Films produced by Allen Covert|Films produced by Jack Giarraputo|Films produced by John Morris (filmmaker)|Films scored by Rupert Gregson-Williams|Films set in 1984|Films set in 2012|Films set in Cape Cod and the Islands|Films set in Massachusetts|Films shot in Massachusetts|Golden Raspberry Award–winning films|Happy Madison Productions films|Obscenity controversies in film|Relativity Media films,1,34,0,1,1,Films,0,,0.0
